bw prob totalusage
5.07812500000000000000000000000000e-02 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
2.83203125000000000000000000000000e-01 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
9.64843750000000000000000000000000e-01 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
1.23046875000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
1.50000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
1.59765625000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
1.63867187500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
2.01562500000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
2.69140625000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.00000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.09960937500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.27343750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.29882812500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.59960937500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
3.95898437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
4.96289062500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
4.99218750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
5.00000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
5.29687500000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
5.34570312500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
5.83398437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
6.32226562500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
6.89843750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
7.46289062500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
7.59179687500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
7.71093750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
7.72656250000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.52021925390625023283064365386963e+05
